MovieId,description,title,content,url
tt5918982,courtesy sundancerising challenge equaling batshit wildness prior possessor brandon cronenberg writhes around psychosexual,"‘Infinity Pool’ Is a Nearly X-Rated, Disturbing Romp That Has Sundance Clutching Its Pearls","Rising to the challenge of equaling the batshit wildness of his priorPossessor, Brandon Cronenberg writhes around in more psychosexual body-horror violation, mutation, mutilation, and hysteria with I… [+6964 chars]",https://www.thedailybeast.com/obsessed/infinity-pool-sundance-review-x-rated-disturbing-masterpiece?source=articles&via=rss
tt5918982,trying break foundation laid filmmaker responsible lasting body horror films ever made easy task brandon cronenberg shown stuff although im huge antiviral sees cale…,How Edward Snowden Influenced Brandon Cronenberg's Possessor,"Trying to break out from the foundation laid by a filmmaker responsible for some of the most lasting body horror films ever made is not an easy task, but Brandon Cronenberg has shown that he has the … [+1547 chars]",https://www.slashfilm.com/1180873/how-edward-snowden-influenced-brandon-cronenbergs-possessor/
tt5918982,possessor mind-bending face-melting thriller thin line human body brain film centers assassin enters peoples consciousnesses order carry missions features plenty trippy imag…,Andrea Riseborough Helped Brandon Cronenberg Get His Plans For Possessor Past The Producers,"""Possessor"" is a mind-bending, face-melting thriller about the very thin line between the human body and brain. The film, which centers on an assassin who enters other people's consciousnesses in ord… [+1409 chars]",https://www.slashfilm.com/1184586/andrea-riseborough-helped-brandon-cronenberg-get-his-plans-for-possessor-past-the-producers/
tt5918982,it’s collaboration horror fiends dying infinity pool brings together awesome mia goth scream queen (suspiria x pearl) blessed acting chops current oscar nominee brandon cronenberg writer-director f…,Mia Goth and Brandon Cronenberg know why you love to be scared,"Its the collaboration horror fiends have been dying for. Infinity Pool brings together the awesome Mia Goth, a scream queen (Suspiria, X, and Pearl) blessed with the acting chops of any current Oscar… [+8243 chars]",https://www.avclub.com/infinity-pool-interview-mia-goth-brandon-cronenberg-1850050010
tt5918982,eight years debut feature antiviral brandon cronenberg made provocative sci-fi body horror possessor pushed envelope came exploring relationship mind body brilliant subversive possessor…,How Brandon Cronenberg Pulled Off Possessor's Most Violent Moments Without CGI,"Eight years after his debut feature ""Antiviral,"" Brandon Cronenberg made the provocative sci-fi body horror, ""Possessor,"" which pushed the envelope when it came to exploring the relationship between … [+1732 chars]",https://www.slashfilm.com/1185345/how-brandon-cronenberg-pulled-off-possessors-most-violent-moments-without-cgi/
tt5918982,veteran experimental producer composer tim hecker busy days last year hecker collaborated arca scored bbc series north water year hecker done music possessor director brandon cronenberg’s new film infinit…,Tim Hecker – “Lotus Light”,"The veteran experimental producer and composer Tim Hecker is busy these days. Last year, Hecker collaborated with Arca and scored the BBC series The North Water. This year, Hecker has done the music … [+990 chars]",https://www.stereogum.com/2211718/tim-hecker-lotus-light/music/
tt5918982,"post contains major spoilers infinity pool
in ernest hemingways novel the sun also rises war veteran jake barnes suffered injury leaving unable sex tells friend whos sleeping beloved you cant get aw…","Infinity Pool Ending Explained: Vacation, Meant To Be Spent All Alone","Did James pass, however? Was that even a possibility, or was the torture, humiliation, and ultimate revelation the point? And what, if anything, has he learned about himself?
When James first meets … [+1544 chars]",https://www.slashfilm.com/1177819/infinity-pool-ending-explained-vacation-meant-to-be-spent-all-alone/
tt5918982,"article contains major spoilers infinity pool
the inflation ego provide one-way ticket self destruction -- nothing demolish? three films director brandon cronenberg d…",How Infinity Pool Channels A Stanley Kubrick Classic,"In Stanley's Kubrick's adaptation of ""The Shining,"" writer Jack Torrance (Jack Nicholson) travels with his family to the isolated Overlook Hotel to work as a caretaker during its dormant winter month… [+1579 chars]",https://www.slashfilm.com/1188711/how-infinity-pool-channels-a-stanley-kubrick-classic/
tt5918982,steven pinker mary beard rebecca solnit others reveal books made see world differentlyshortly publishing book better angels nature historical decline violence attended conference sponsored forei…,‘It altered my entire worldview’: leading authors pick eight nonfiction books to change your mind,"Steven Pinker
Shortly after publishing my book The Better Angels of Our Nature, on the historical decline of violence, I attended a conference sponsored by a foreign policy magazine at which a journ… [+13643 chars]",https://www.theguardian.com/books/2023/jan/07/it-altered-my-entire-worldview-leading-authors-pick-eight-nonfiction-books-to-change-your-mind
tt5918982,surprises happened year’s oscar nominations one bu ier ones best actress nomination andrea riseborough eleventh-hour word-of-mouth oscar campaign performance michael morris’ indie drama leslie …,How Andrea Riseborough's last-minute Oscar campaign for To Leslie cinched her a nomination,"Of all the surprises that happened with this years Oscar nominations, one of the buzzier ones is the Best Actress nomination for Andrea Riseborough. Her eleventh-hour, word-of-mouth Oscar campaign fo… [+3040 chars]",https://www.avclub.com/andrea-riseborough-successful-oscar-campaign-nomination-1850023499
