MovieId,UserReviews,Sentiment
tt5918982,"Tasya Vos (Andrea Riseborough) is the Possessor. She's a corporate assassin who uses a brain implant to take over other people to do the killing. Her boss is Girder (Jennifer Jason Leigh). Her next take-over target is Colin Tate (Christopher Abbott) who is dating Ava Parse (Tuppence Middleton), the daughter of tech tycoon John Parse (Sean Bean).",negative
tt5918982,"Some artful notions swirling around in this one, ""Possessor,"" but not necessarily always amounting to much. A conclusion of a loss of empathy seems especially trite to me. There's so much more potential here than some character arch. More than the satire on the real world, too.",negative
tt5918982,"This should be retitled,""Too Much but also not enough"". There are so many ideas pulling the movie in so many different directions. It's ideas the movie, but rarely does an idea get fully realized here. This has me torn on how I feel. On one hand, there is a unique tone to this. It's like Assassin's Creed meets inception. People possessing other people's bodies to preform hits on specific people for political or social gain is a solid premise on it's own. Throw in some great ultra violent gore effects, good performances, and some moody, atmospheric music and you get some really striking scenes. On the other hand, the movie is overly ambitious. There's so much it establishes there's no way it can accomplish it all, and it doesn't. This is exemplified in the first act which feels horribly rushed. We get less then 20 minutes establishing characters, premise, and themes. It feels like it can't wait to move through the set up and what results is a lack of investment from me. We hardly know who anyone is or why they are doing anything. The main character is having a psychological melt down as a result from over working inside this possessor machine but she only takes like a half day off to recover. Then she's right back to work. There's barely motivation for this and in her half day off all she does is sit around at home with her ex. You needed more scenes explaining to us what lead to her breaking up with him and more establishment of why she would want to go back to him. We don't know these people or their story and we leave them so quickly it's hard to care about them at all. We literally get one scene of her away from her work, and it's nothing out of the ordinary as far as normal day goes. Why is she a workaholic? Her home life seems fine to me. Why won't she tell her superiors that she's having a mental breakdown? Is it supposed to be a metaphor about her dependency on work to avoid her real life? If that's the case then why don't we get more scenes showing why she would be avoiding her life? It's a messy movie, full of vague characters and even murkier story progression. Even though the first act is rushed, at least it sets some interesting things up. The second act is where the movie really faulters though. It feels like the same scenes happening over and over again. It gets really tedious watching a character saying the possessed person is acting weird over and over. There are some cool, trippy, drug like sequences showing the main character having more internal breakdowns but I got the point after the first time. Yeah she's not stable enough to be in there and the longer she is, the worse it will get. I get it. We don't need to see it 27 times. This is weird because the first act has the exact opposite problem. Like Inception these people are trying to accomplish something by manipulating others for their gain. Unlike Inception, where the first half of the movie is establishing characters, story motivations, and potential speed bumps, Possessor only seems interested in establishing the story speed bumps. We don't get a clear sense of character motivation or why the story is happening in the first place. This possessor company wants to own this large tech company? But why? Who knows! The real story is about the Possessor and the Possessy who go to war over who should have control over the body. So why even mention that they want to absorb this tech company? Instead, say that she needs to kill these people just because they are evil or corrupt. That wouldn't change what the movie is going for and it would clean up the story a bit. The whole point is the struggle between the possessed dude and the possessor and coming to terms with the horrible things that happened. It's kinda like watching someone with split personality disorder. Which, again, is an idea that could've and should've been fleshed out. It only comes up near the end and is wrapped up so quickly I don't know why they even bothered. The first act is completely rushed, the second act is drawn out to no end, and the third act introduces more things it can't quite pull off. So...eh?",neutral
tt5918982,"The same thing always happens. A movie gets hyped, I buy in and get excited, then watch it and am mildly interested in it and wonder what all the fervor was all about. It happened all over again with Possessor (or Possessor Uncut), which is not the alternate title to Horror Express (©Bill Van Ryn for that joke) and it's not one of the movies within a movie within Popcorn.",neutral
tt5918982,"There aren't enough people doing this kind of stuff anymore, you know, the kind of movies David Cronenberg used to do, low budget but well crafted, high concept and not afraid to disturb, then lo and behold, looks like his son took the torch and I couldn't be happier. Possessor has some great performances and nice visual choices, the body horror bits do not disappoint as well and I thought the narrative was engaging from start to finish, found no issues with the pacing whatsoever.",positive
tt5918982,"One of the greatest directors from the 70s forward who put forth the idea of science fiction with body modification and manipulation was David Cronenberg. Imagine being the son of Cronenberg and having to live up to his record of films. It appears that his son Brandon is doing just that and succeeding. His latest film does just that and more, creating a science fiction premise that is frightening and fascinating at the same time.",positive
tt5918982,"In this film, set in the near future, brain implant technology allows one person to inhabit the mind, body, and spirit of another. A clandestine corporation uses this technology to assassinate wealthy and powerful people for profit. The film explores what happens when the host starts to fight to regain control from a guest who is not entirely mentally stable, to begin with.",neutral
tt5918982,"The incipit is really good: an agency that perform contract killings, use a very innovative technology that implants a device on the brain of a designated target that allows to the killer to remotely wire. Therefore the person is replaced, his free will is canceled and the killer is then able to complete the assignment, without being directly involved. The concept is really good, but the movie has a lot of issues.",negative
tt5918982,I think this is one of those films you will love or hate.,neutral
tt5918982,Got around to watching this last night & thought it would be an alright watch.,neutral
tt5918982,.5 out of 5 stars.,neutral
tt5918982,Opens really well and sets the scene well. Then rapidly descends into a poor gorefest that has no actual story. The performances are good but there is no empathy felt for the main character. Visually it's ok but nothing special. Too many buts for me. Meh,negative
tt5918982,"Like father, like son.",positive
tt5918982,"Every scene is just vacant looks, sadness, and anger... No likeable characters... No reason to care about anyone... No art... No film...",negative
tt5918982,"... not only in the main characters but channelling throughout this unoriginal take on nothing you haven't seen before but perhaps with a bit more gore, torment and brutality, although you're never really sure why and you'll find a point close to the middle when you won't really care - valueless with some reasonable effects.",negative
tt5918982,"I enjoyed the shock value moments, but that can't be all there is. It's an interesting premise but it goes almost nowhere. They only take it in one direction but that's more than an hour into the movie. It's well made from a technical perspective, but it had trouble keeping me invested and i felt bored and unsatisfied (1 viewing, 4/8/2021)",negative
tt5918982,An interesting if not totally pointless premise leads to an interesting if not totally pointless story. At first it's interesting but then stops on one character for the entirety of the movie. This isn't good because it wastes the very notion set up by the premise. We could have had multiple characters undergoing this process yet instead we are left with what turns into a fairly pedestrian affair.,neutral
tt5918982,"... that's pretty much it. It just looks good. Well, the acting is alright too, i guess. The pacing is way too slow, literally 2/3 could've been cut into a 12 minutes run time. Though the concept is nice, they didn't able to make an interesting plot (if even there's any plot at all). The ""weird imagery"" and ""violent"" that sole purpose to make it edgy-artsy, didn't work. It ended up boring and dull.",neutral
tt5918982,"Similar in ways to existenz and videodrome themes. Really been missing David Cronenberg as he hasnt made many movies recently, so glad to see his sons taken over. His films are getting much better, this one being my favourite by miles so far. Excellent use of London set, nice camera work and its a real gorefest. It doesnt hold back in that respect, and some of the visual dream sequences were 1st class. Its not a perfect film by any means but has a number of strengths that horror film fans will appreciate.",positive
tt5918982,"I had heard great things about Possessor Uncut and eagerly looked forward to watching it. This British/Canadian science fiction/horror is the most brutal movie that I have seen for a while and knocks spots off the vast majority of today's offerings. Directed by Brandon Cronenberg, he certainly is a chip off the old block (David). I have to admit that the plot is not always to follow, I am sure that repeat viewings would help make things clearer (alternatively read a full synopsis). The violence and gore is extreme, plus there are a few scenes of very strong sex and nudity. The sets and locations look good and the acting is excellent. I found the movie impressive and look forward to watching it again, however this is most certainly not a film for everyone.",neutral
tt5918982,"It is almost as if, with the advent of streaming media, the critics are desperate for an actual feature to gush over. They picked the wrong movie. There are clever bits here and there, but the directors endless love affair with the tropes of low-budget film making, static scenes, dim lighting -- all these will ultimately disappoint. And the gushers would do well to remember that the director's father may have started with low-budget productions but eventually graduated to blockbusters like A HISTORY OF VIOLENCE. We can only hope.",negative
tt5918982,"The son of David Cronenberg wants to to a movie like Existenz, but he ultimately fails to do so. The acting is good, but the plot is really drawn out and says almost nothing in the end. Also, as many others noted, there is some gratuitous gore and violence put in which doesn't really advance the story in any way, and that extends to some other things as well.",negative
tt5918982,"Visually good, in some places great.",positive
tt5918982,"This one is slow with very few violent scenes, nudity n sex.
A contract killer is able to implant her consciousness into the body of another person in order to carry out an assassination. The assassin is able to control the body of another person but is not able to control the minds of others. A big lol.
It has a wierd sex scene n bloody stabbings but gets tedious.",negative
tt5918982,I really anticipated this movie but I was let down after watching it. 5 stars for the acting. That's it.,neutral
tt5918982,"With its good performances, excellent visual design, and all the blood and gore you could ask for, Brandon Cronenberg's 'Possessor' is a thrilling, engaging experience that succeeds in getting under your skin.",positive
tt5918982,"I hate watching films with expectations because they will undoubtedly influence perception/opinion. I admit I did go into this film with some hope that perhaps the young Cronenberg could live up to the family name in terms of cinematic experience to some degree. I at least hoped that it would be a reasonably good film, my expectations were definitely not all that high. I saw some good reviews, but didn't read them and just went to check it out with an open mind and a little hope. My hopes were unfounded as the film really is nothing to be excited about. In fact, I found the film to be profoundly boring. The story isn't bad really, it's somewhat interesting, but it's delivered in slow motion and with a lot of misplaced weirdness. This coming from a lover of weird films. Luis Buñuel, David Lynch and Federico Fellini are among my favorite all time filmmakers for instance. I've never been a fan of weirdness just for the sake of being weird however. Weirdness needs to be interesting, compelling to at least some degree, not completely pointless. This film seems to focus too much on its weirdness and less on the interesting aspects of the story, and to me, none of the weirdness was of any interest. Brandon may indeed one day be a director worth watching, however today is not the day. To me this film was not even in the same league as Father David's first feature Shivers. That film isn't great either, but even it kicks the crap out of this pile of boring.",neutral
tt5918982,"Immensely disturbing, shocking and provocative; ""Possessor"" takes you on a wild ride while playing with your mind.",negative
tt5918982,"I enjoyed watching this film, it seemed to be low budget but I thought it was extremely well filmed. There were some really creative and interesting scenes I had never seen before, especially the consciousness transfer. I found it hard to connect with the characters because they were all unlikeable. The concept was cool and one that should be in more movies, by I definitely think the story could be told better with more likeable characters and a clear protagonist and antagonist.",positive
tt5918982,"Cronenberg Jr. had the right idea, and his visuals were stunning - albeit the gore borderline overboard-cheesy, but his writing was riddled with plot and technical issues, and the ending was disappointing, forgettable and not worth the runtime's wait. There were also far too many convoluted scenes as well as many long, unnecessary and dragged out ones. The acting, cinematography and score were decent. The pacing was horribly slow, that the 103 min runtime felt like 3+ hours. This film needed faster pacing, and to be cut down to about 80 mins, with more clarity in the writing - especially the ending. Maybe dad should've given the screenplay a once-over to avoid such amateur errors. It's a generous 6/10 from me.",negative
tt5918982,"I don't think this movie fully works, but I don't want to dismiss it completely. It's aggressively unpleasant for long stretches with a wildly unappealing main character and some unclarity about who's who for a while, but the main character has an emotional (or one might say emotionless) journey that's well built around unpleasantness and the unclarity actually feeds that some of that at the same time. I'm mixed on this, having never really engaged with it on any level while watching it, but having learned to appreciate it on a certain intellectual level as I considered it after it was over.",positive
tt5918982,"It is weird, gory and yet very boring. I just don't understand what is going on.",negative
tt5918982,"This movie is unsettling. To its credit, that is partially due to its commitment to the relentlessly bleak and bloody life of Tasya, a woman whose job is to use a strange machine that lets her inhabit other people's bodies to carry out violent assassinations. The film truly conveys the dread of an alternate universe where such a thing exists. The audience is in a strange position at the edge of the seat waiting to see how this woman and her overlords' missions go, yet also wondering if we should be hoping for their own demise given the immorality of their scheme. It doesn't help that Tasya herself seems perturbed about her own actions.",negative
tt5918982,"The apple doesn't fall far from the tree. You can see where Brandon Cronenberg got his inspiration from. Like his dad he has his own view of making movies. The story is interesting but I can't help it to think the movie could have been better. So for the writing Brandon Cronenberg did a good job, for the directing it could have been better. The acting was good and that from the entire cast. There are some brutal scenes but they fit good in the movie. Overal the movie is worth a watch, curious about his next movie though.",positive
tt5918982,"Featuring an insane premise that only a Cronenberg mind can conceive, Possessor is a visceral blend of cerebral sci-fi & stomach-churning body horror that's surreal, haunting & above all original. Bathing in blood, basking in violence n gore, and blatant in its depiction of corporate greed, the film is equal parts fascinating & equal parts frustrating.",negative
tt5918982,"A girl sticks a wire into her brain and connects it to some device which causes her to display a variety of emotions. She then follows a friend to a party where she sticks a knife into some guys neck then stabs him enthusiastically and repeatedly into the chest. Then she grabs a gun, puts it into her mouth, can't pull the trigger, instead commits suicide by cop.",negative
tt5918982,"I just found the whole movie wrong from the opening scene. The look was off, the pacing was slow, the sound track was tedious and slow panning shots... I simply detest slow panning shots with ambient music. It was an extremely drawn out affair, interjected with frantic disjointed scenes of of graphic violence and sex. I feel this movie was made more for the filmaker's entertainment than the audience. It could have ended (and really should have) twenty minutes sooner. Even though it was about 90 minutes, it felt so much longer to me. The ending was a mess but at that stage I was just happy it was over.",negative
tt5918982,Amazed to see the positive reviews of this movie .It is completely boring and the vocals from the characters can not be understood clearly .It falls flat on its arse .,positive
tt5918982,No amount of eye candy cinematography or grandiose effects can make up for an undeveloped plot that culminates in a cheap copy-paste thriller.,negative
tt5918982,Possessor reminds me of an ultra-violent combination of Inception and Looper.,neutral
tt5918982,"Ok, i don't usually write reviews here, although I am an avid movie fanatic.",positive
tt5918982,"My God, this movie is tediuosly slow. And not in a good way.",negative
tt5918982,The movie is very boring and slow for the first 60minutes... then it becomes a rampant gore-fest for about 10minutes and then it returns to being exceptionally boring plus it gets confusing and just down-right strange until the end.,negative
tt5918982,"The Possessor (2020) we recently rented off Amazon Prime for $1.99. The storyline is primarily about a high profile agent who uses brain implant technology to get access to other people's bodies to conduct assassinations for high profile/paying clients. The more missions they conduct the more they deteriorate themselves putting the agency and tasks at risk as their own mental state crumbles due to the technology. This movie is directed by Brandon Cronenberg (Antiviral and son of David Cronenberg) in his second major motion picture. This picture stars Gabrielle Graham (Shadow of the Moon), Hanneke Talbot (Ready or Not), Jennifer Jason Leigh (Dolores Claiborne), Daniel Park (12 Monkeys) and Andrea Riseborough (Oblivion). First off, I love this movie. The kill scenes are often subtle in their execution but also very intense. The delivery of the debilitating factors of the technology is also well delivered in both the storytelling, special effects and acting. Everything about this movie is well thought out and executed. This is a very smart and entertaining film that is definitely worth your time. I'd score this a 8-8.5/10.",neutral
tt5918982,"Wow. Brandon Cronenberg has done it. After his debut film, Antiviral - an admirable, but not quite accomplished attempt at picking up where his father David left off - he has created a fully realized and fully original vision in POSSESSOR. Not only do the concepts and aesthetics meet Cronenberg standards, but the levels of brutalism and discomfort are SHOCKING - this might be more brutal than ANY movie that David Cronenberg ever made, yet it feels like it's made in a completely inspired manner and with genuine purpose.",neutral
tt5918982,'Possessor' is quite unique.,neutral
tt5918982,Let me start by saying how much I HATED this film! This is a bloody film - and also bloody confusing. 'Possessor' is a disgusting film I never want to see again. It is unnecessarily gory and bloody.,negative
tt5918982,"This film start with a woman ""Holly"" sticking a radio stimulate device into her head, and she stabbing a man to death scene! As turnout, this film is about a female agent ""Tasya"" struggle to finish her job by killing her possessed body ""Colin"", and Girder eventually helping Tasya to finish the job! Entire film full of boring conversation, and annoying overuse scene! Such as, overuse of the drinking scene, overuse of the eating scene, overuse of the hallucinate scene, overuse of the suffering trauma scene, overuse of the flashbacks scene, and overuse of the struggle to suicide scene! Make the film unwatchable! Barely intense scene is, Colin cut off Michael's finger! At the end, Girder possess Ira to kill Colin for Tasya! That's it! Another disappointed film!",negative
tt5918982,"Disregard low rating under 6.
i feel its a good 7.
yes its a bit slow but not too slow. I personally felt a bit let down in the last scene or two, but personal opinions.....
This movie is surprisingly well thought and have some gores and weird moments. it is not boring.
i would b very please if i be daddy Cronenberg wt this one.
I was expecting a snore fest and this is not.
Its also not a high octane popcorn Hollywood commercial thing.
Watch it!
I like to recommend you check out 2020 The midnight gospel animation series ,also movie Ravenous 1999 and Jacob's ladder 1991",neutral
tt5918982,"Its assassins are plagued with mysterious yet boring ailments that keep the plot from developing meaningfully. In media res doesn't mean ""put us to sleep.""",negative
tt7923220,"This movie has gotten consistently mediocre to poor ratings from various professional viewers. The premise is very interesting but highly unlikely, and many of the choices of the various characters seem unusual and unlikely. Still, my wife and I were entertained, as a Tuesday evening viewing at home on the Kanopy site it entertained us more than many recent movies.",neutral
tt7923220,"I have to admit that the premise for ""Inheritance"" is quite unlike any movie I have seen (or heard about) to date, and that I was kept interested in it to see how things would be wrapped up in the end. However, when the end credits started rolling, I didn't find myself satisfied. As others here have stated before me, this movie has quite a lot of holes in its plot. How did nobody know about the bomb shelter before? Why didn't the heroine's father leave her proper instructions about her ""inheritance""? Then there are questions that come up at the end that the movie does not answer, such as the unmentioned fate of the heroine's brother, who simply disappears from the story. The performers do a pretty good job despite the weaknesses in the material, and the entire production looks okay despite a limited budget. I've seen worse on Netflix, I admit, but I think this is one acquisition you should only look at when you've run out of really good movies to watch there.",neutral
tt7923220,I like Simon Pegg and Lily Collins but this was a ridiculous premise.,negative
tt7923220,Lost count of how many actions the main characters could have taken to avoid the mayhem.,negative
tt7923220,This was probably one of the most crazy plots that I have seen in a while .,negative
