MovieId,UserReviews
tt5918982,tasya vos (andrea riseborough) possessor corporate assassin uses brain implant take people killing boss girder (jennifer jason leigh) next take-over target colin tate (christopher abbott) dating ava parse (tuppence middleton) daughter tech tycoon john parse (sean bean)
tt5918982,artful notions swirling around one possessor necessarily always amounting much conclusion loss empathy seems especially trite theres much potential character arch satire real world
tt5918982,retitledtoo much also enough many ideas pulling movie many different directions ideas movie rarely idea get fully realized torn feel one hand unique tone like assassins creed meets inception people possessing peoples bodies preform hits specific people political social gain solid premise throw great ultra violent gore effects good performances moody atmospheric music get really striking scenes hand movie overly ambitious theres much establishes theres way accomplish exemplified first act feels horribly rushed get less minutes establishing characters premise themes feels like cant wait move set results lack investment hardly know anyone anything main character psychological melt result working inside possessor machine takes like half day recover right back work theres barely motivation half day sit around home ex needed scenes explaining us lead breaking establishment would want go back know people story leave quickly hard care literally get one scene away work nothing ordinary far normal day goes workaholic? home life seems fine tell superiors mental breakdown? supposed metaphor dependency work avoid real life? thats case get scenes showing would avoiding life? messy movie full vague characters even murkier story progression even though first act rushed least sets interesting things second act movie really faulters though feels like scenes happening gets really tedious watching character saying possessed person acting weird cool trippy drug like sequences showing main character internal breakdowns got point first time yeah stable enough longer worse get get need see times weird first act exact opposite problem like inception people trying accomplish something manipulating others gain unlike inception first half movie establishing characters story motivations potential speed bumps possessor seems interested establishing story speed bumps get clear sense character motivation story happening first place possessor company wants large tech company? why? knows! real story possessor possessy go war control body even mention want absorb tech company? instead say needs kill people evil corrupt change movie going would clean story bit whole point struggle possessed dude possessor coming terms horrible things happened kinda like watching someone split personality disorder idea couldve fleshed comes near end wrapped quickly know even bothered first act completely rushed second act drawn end third act introduces things cant quite pull soeh?
tt5918982,thing always happens movie gets hyped buy get excited watch mildly interested wonder fervor happened possessor (or possessor uncut) alternate title horror express (©bill van ryn joke) one movies within movie within popcor
tt5918982,enough people kind stuff anymore know kind movies david cronenberg used low budget well crafted high concept afraid disturb lo behold looks like son took torch happier possessor great performances nice visual choices body horror bits disappoint well thought narrative engaging start finish found issues pacing whatsoever
tt5918982,one greatest directors forward put forth idea science fiction body modification manipulation david cronenberg imagine son cronenberg live record films appears son brandon succeeding latest film creating science fiction premise frightening fascinating time
tt5918982,film set near future brain implant technology allows one person inhabit mind body spirit another clandestine corporation uses technology assassinate wealthy powerful people profit film explores happens host starts fight regain control guest entirely mentally stable begi
tt5918982,incipit really good: agency perform contract killings use innovative technology implants device brain designated target allows killer remotely wire therefore person replaced free canceled killer able complete assignment without directly involved concept really good movie lot issues
tt5918982,think one films love hate
tt5918982,got around watching last night & thought would alright watch
tt5918982,stars
tt5918982,opens really well sets scene well rapidly descends poor gorefest actual story performances good empathy felt main character visually ok nothing special many buts meh
tt5918982,like father like so
tt5918982,every scene vacant looks sadness anger likeable characters reason care anyone art film
tt5918982,main characters channelling throughout unoriginal take nothing seen perhaps bit gore torment brutality although never really sure find point close middle really care - valueless reasonable effects
tt5918982,enjoyed shock value moments cant interesting premise goes almost nowhere take one direction thats hour movie well made technical perspective trouble keeping invested felt bored unsatisfied viewing
tt5918982,interesting totally pointless premise leads interesting totally pointless story first interesting stops one character entirety movie good wastes notion set premise could multiple characters undergoing process yet instead left turns fairly pedestrian affair
tt5918982,thats pretty much looks good well acting alright guess pacing way slow literally couldve cut minutes run time though concept nice able make interesting plot (if even theres plot all) weird imagery violent sole purpose make edgy-artsy work ended boring dull
tt5918982,similar ways existenz videodrome themes really missing david cronenberg hasnt made many movies recently glad see sons taken films getting much better one favourite miles far excellent use london set nice camera work real gorefest doesnt hold back respect visual dream sequences class perfect film means number strengths horror film fans appreciate
tt5918982,heard great things possessor uncut eagerly looked forward watching british/canadian science fiction/horror brutal movie seen knocks spots vast majority todays offerings directed brandon cronenberg certainly chip old block (david) admit plot always follow sure repeat viewings would help make things clearer (alternatively read full synopsis) violence gore extreme plus scenes strong sex nudity sets locations look good acting excellent found movie impressive look forward watching however certainly film everyone
tt5918982,almost advent streaming media critics desperate actual feature gush picked wrong movie clever bits directors endless love affair tropes low-budget film making static scenes dim lighting -- ultimately disappoint gushers would well remember directors father may started low-budget productions eventually graduated blockbusters like history violence hope
tt5918982,son david cronenberg wants movie like existenz ultimately fails acting good plot really drawn says almost nothing end also many others noted gratuitous gore violence put really advance story way extends things well
tt5918982,visually good places great
tt5918982,"one slow violent scenes nudity n sex
a contract killer able implant consciousness body another person order carry assassination assassin able control body another person able control minds others big lol
it wierd sex scene n bloody stabbings gets tedious"
tt5918982,really anticipated movie let watching stars acting thats
tt7923220,movie gotten consistently mediocre poor ratings various professional viewers premise interesting highly unlikely many choices various characters seem unusual unlikely still wife entertained tuesday evening viewing home kanopy site entertained us many recent movies
